original_path,new_path,action,classification,reason,evidence,upstream_creator,downstream_references,sha256_before,sha256_after,size_bytes,reproducible,contains_unique_evidence,tracked_status,applied
prompts/rebalanced_prompts_en.json.pre_battery_tag,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_en.json.pre_battery_tag,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,2262c1934777b4dbc583b454db9a1291ea8cb88b6d18b5b1f699b735a27b477b,2262c1934777b4dbc583b454db9a1291ea8cb88b6d18b5b1f699b735a27b477b,10460365,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_en.json.pre_idfix,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_en.json.pre_idfix,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,d805c1065981f0cd265bdd501ac2c47937aed29b95ad635c292b04a8de59f9d7,d805c1065981f0cd265bdd501ac2c47937aed29b95ad635c292b04a8de59f9d7,9038613,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_en.json.pre_route_tag,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_en.json.pre_route_tag,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,1e52145fbd39b128c1e7a8b59fc1e965e4c7410e86df9cf307daee73e31b5187,1e52145fbd39b128c1e7a8b59fc1e965e4c7410e86df9cf307daee73e31b5187,10804124,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_hi.json.pre_backtranslate,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_hi.json.pre_backtranslate,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,0a984c0e9e33868b0b5b8884aee7fc4c10728076082ecb46628b8dcc5c11ac1a,0a984c0e9e33868b0b5b8884aee7fc4c10728076082ecb46628b8dcc5c11ac1a,15914718,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_hi.json.pre_battery_tag,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_hi.json.pre_battery_tag,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,53ed0422614450e3cb2b21a0687a11acb464969d74877f45ff977fcf5137d7df,53ed0422614450e3cb2b21a0687a11acb464969d74877f45ff977fcf5137d7df,17259607,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_hi.json.pre_idfix,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_hi.json.pre_idfix,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,e12bcd70ca71c4043b87c5248735676f90fa7ae2fe82962d958fb87a01cd1d8c,e12bcd70ca71c4043b87c5248735676f90fa7ae2fe82962d958fb87a01cd1d8c,15699887,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_hi.json.pre_route_tag,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_hi.json.pre_route_tag,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,c01e9adf1c3be5e81894c043b512616a4568f06470fc2ae67c41fa57a5d10ac1,c01e9adf1c3be5e81894c043b512616a4568f06470fc2ae67c41fa57a5d10ac1,17603366,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_hi.json.pre_template_fix,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_hi.json.pre_template_fix,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,8f14efa1eb678e2241bba45d522ce5a521997c824a6e53ec2b5c1e98e2cfa0c8,8f14efa1eb678e2241bba45d522ce5a521997c824a6e53ec2b5c1e98e2cfa0c8,15899743,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_ru.json.pre_backtranslate,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_ru.json.pre_backtranslate,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,1218a414ea4b8f11799882501062e277c25dc60d8c70840c6740e3edf8e1ab66,1218a414ea4b8f11799882501062e277c25dc60d8c70840c6740e3edf8e1ab66,14678178,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_ru.json.pre_battery_tag,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_ru.json.pre_battery_tag,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,020e76c55718209c1444df1958b62b9303c66363312d9ba7f2fdc9256819ea85,020e76c55718209c1444df1958b62b9303c66363312d9ba7f2fdc9256819ea85,15732174,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_ru.json.pre_idfix,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_ru.json.pre_idfix,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,b61b21256ac13025bac355c7c619ba6d8e5f8280db3ec66610e37af19500b45e,b61b21256ac13025bac355c7c619ba6d8e5f8280db3ec66610e37af19500b45e,14478322,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_ru.json.pre_route_tag,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_ru.json.pre_route_tag,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,b3fca2b1136982b5736c3ed0464f6271fcc17e11420f281d7bd52195059d3d4c,b3fca2b1136982b5736c3ed0464f6271fcc17e11420f281d7bd52195059d3d4c,16075933,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_zh.json.pre_backtranslate,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_zh.json.pre_backtranslate,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,fc71c75a994ccd34be15e3749ccc984eddfae8d4e685348d38018fe0f10102e5,fc71c75a994ccd34be15e3749ccc984eddfae8d4e685348d38018fe0f10102e5,11979347,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_zh.json.pre_battery_tag,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_zh.json.pre_battery_tag,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,ce9ae3ef7ddf3c6bf77e8b730dc7b0f3daff67a451eb460ad6006797e9b71310,ce9ae3ef7ddf3c6bf77e8b730dc7b0f3daff67a451eb460ad6006797e9b71310,13157429,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_zh.json.pre_idfix,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_zh.json.pre_idfix,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,d66e3b9865e6992d42be7b2bbb38c1a30de85aa666ab08d9c69995c4f3df4a46,d66e3b9865e6992d42be7b2bbb38c1a30de85aa666ab08d9c69995c4f3df4a46,11785057,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_zh.json.pre_route_tag,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_zh.json.pre_route_tag,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,b59ef14a79fe9148058c6580d4f5ff503f1879c7e5bc871097dacaa4adfd927f,b59ef14a79fe9148058c6580d4f5ff503f1879c7e5bc871097dacaa4adfd927f,13501188,varies,true,ignored_or_untracked,true
prompts/rebalanced_prompts_zh.json.pre_template_fix,archive/2026-09-01_pre_rationalization/prompts/rebalanced_prompts_zh.json.pre_template_fix,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,9b20285a754b438473c4b56212483495deef6bde4f5a863979c3162ec16f894c,9b20285a754b438473c4b56212483495deef6bde4f5a863979c3162ec16f894c,11984913,varies,true,ignored_or_untracked,true
prompts/rebalanced_review_en.csv.pre_idfix,archive/2026-09-01_pre_rationalization/prompts/rebalanced_review_en.csv.pre_idfix,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,ef69420b484aed7327c5f45c7db991ea47de774dd4cd2716d1f0e2517abdd0b1,ef69420b484aed7327c5f45c7db991ea47de774dd4cd2716d1f0e2517abdd0b1,3481949,varies,true,ignored_or_untracked,true
prompts/temporal_prompts_ar.json.pre_template_fix,archive/2026-09-01_pre_rationalization/prompts/temporal_prompts_ar.json.pre_template_fix,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,f25c4f3217f05f55eac473c8b2980bc43f3e1d5a13f05c1dfac07e8131d89e88,f25c4f3217f05f55eac473c8b2980bc43f3e1d5a13f05c1dfac07e8131d89e88,3918534,varies,true,ignored_or_untracked,true
prompts/temporal_prompts_hi.json.pre_template_fix,archive/2026-09-01_pre_rationalization/prompts/temporal_prompts_hi.json.pre_template_fix,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,805c2f41163075106e82c2811882684d69d0d9424cd194b1715f17bd9fec78df,805c2f41163075106e82c2811882684d69d0d9424cd194b1715f17bd9fec78df,4680568,varies,true,ignored_or_untracked,true
prompts/temporal_prompts_ru.json.pre_template_fix,archive/2026-09-01_pre_rationalization/prompts/temporal_prompts_ru.json.pre_template_fix,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,2296a9f5c684b92b38815943baaf3e64225d5a89656f531d39dcb6755879e4bb,2296a9f5c684b92b38815943baaf3e64225d5a89656f531d39dcb6755879e4bb,4257931,varies,true,ignored_or_untracked,true
prompts/temporal_prompts_zh.json.pre_template_fix,archive/2026-09-01_pre_rationalization/prompts/temporal_prompts_zh.json.pre_template_fix,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,70b28c0f6cd866236278230a727455a9c35168484658ccbd9cca4d9793846286,70b28c0f6cd866236278230a727455a9c35168484658ccbd9cca4d9793846286,3556996,varies,true,ignored_or_untracked,true
push_to_github.sh,archive/2026-09-01_pre_rationalization/push_to_github.sh,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,34ef02387334f17a3e872d7592b7d06308912e9a7f0607c241757a08eb821c07,34ef02387334f17a3e872d7592b7d06308912e9a7f0607c241757a08eb821c07,1358,true,true,tracked,true
scripts/make_sample_review.py,archive/2026-09-01_pre_rationalization/scripts/make_sample_review.py,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,04c9a59906213537fea026c20001adb313a7baf83c854095b8570a5d089ec865,04c9a59906213537fea026c20001adb313a7baf83c854095b8570a5d089ec865,4096,true,true,tracked,true
scripts/study_a_jurisdiction_panel.py,archive/2026-09-01_pre_rationalization/scripts/study_a_jurisdiction_panel.py,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,033797cd1c3faac85788be046192a8e3a4f05d51272a8ca72f2d3cb7812029a7,033797cd1c3faac85788be046192a8e3a4f05d51272a8ca72f2d3cb7812029a7,10180,true,true,tracked,true
scripts/study_b_runner.py,archive/2026-09-01_pre_rationalization/scripts/study_b_runner.py,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,e90ad8a5c3154ba2703b59fc7c5d1f6a27d9dc73c02cd97f75f20aa437fd52e8,e90ad8a5c3154ba2703b59fc7c5d1f6a27d9dc73c02cd97f75f20aa437fd52e8,9776,true,true,tracked,true
scripts/translate_prompts.py,archive/2026-09-01_pre_rationalization/scripts/translate_prompts.py,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,26c917d356ad6e350dfb897a7c9208629fee522eacf0e124020e2a0a9a85ba23,26c917d356ad6e350dfb897a7c9208629fee522eacf0e124020e2a0a9a85ba23,7275,true,true,tracked,true
scripts/validate_data.py,archive/2026-09-01_pre_rationalization/scripts/validate_data.py,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,f7aa52f4b2d37820777929ab3ab8524e64622dc261c1929495fcefcbc50cf122,f7aa52f4b2d37820777929ab3ab8524e64622dc261c1929495fcefcbc50cf122,11595,true,true,tracked,true
sourcing/05b_topup_translations.py,archive/2026-09-01_pre_rationalization/sourcing/05b_topup_translations.py,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,0eaed88291a9465e6a7277ce8bce209eb749e34292b7458aaf5638993f79ed16,0eaed88291a9465e6a7277ce8bce209eb749e34292b7458aaf5638993f79ed16,5839,true,true,tracked,true
sourcing/09_migrate_issue_ids.py,archive/2026-09-01_pre_rationalization/sourcing/09_migrate_issue_ids.py,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,88bcee411d0fd4539ac70d6f64aab87bbe531226df9eac4e2d2d90c143a90363,88bcee411d0fd4539ac70d6f64aab87bbe531226df9eac4e2d2d90c143a90363,9853,true,true,tracked,true
sourcing/10_backtranslate_native.py,archive/2026-09-01_pre_rationalization/sourcing/10_backtranslate_native.py,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,9b29aca4c9861a311e4f1797657eebd33005138270ce33b21f32847f25e33bfc,9b29aca4c9861a311e4f1797657eebd33005138270ce33b21f32847f25e33bfc,18656,true,true,tracked,true
sourcing/11_retranslate_affected.py,archive/2026-09-01_pre_rationalization/sourcing/11_retranslate_affected.py,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,6ff243bcfa71d280a26b2b96d54b1c1e94aa9e405ece747f7b488f7ec5fbf1e9,6ff243bcfa71d280a26b2b96d54b1c1e94aa9e405ece747f7b488f7ec5fbf1e9,4753,true,true,tracked,true
sourcing/12_normalize_boundary_templates.py,archive/2026-09-01_pre_rationalization/sourcing/12_normalize_boundary_templates.py,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,99e428b5d4f393241915dd8df49acd27a70293699f191e2c777692cd178d3135,99e428b5d4f393241915dd8df49acd27a70293699f191e2c777692cd178d3135,11430,true,true,tracked,true
sourcing/13_recover_qids.py,archive/2026-09-01_pre_rationalization/sourcing/13_recover_qids.py,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,3a82bd2491b322a0878f38831188293b227a4286bc761b98b01728a395411dc0,3a82bd2491b322a0878f38831188293b227a4286bc761b98b01728a395411dc0,9575,true,true,tracked,true
sourcing/14_recover_provenance.py,archive/2026-09-01_pre_rationalization/sourcing/14_recover_provenance.py,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,bbd74eb76490c4dec23d7df6e1a67aafb6a8a7502a533bf2ad0ec2d00ef44991,bbd74eb76490c4dec23d7df6e1a67aafb6a8a7502a533bf2ad0ec2d00ef44991,13873,true,true,tracked,true
tmp/pdfs/concurrency-21.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/concurrency-21.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,0e5e0455752c607cd759d5fa4738de9a3a42398f016fdaeb62475a0f83cc98bb,0e5e0455752c607cd759d5fa4738de9a3a42398f016fdaeb62475a0f83cc98bb,401627,true,false,ignored_or_untracked,true
tmp/pdfs/concurrency-22.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/concurrency-22.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,ae84b054d4f2aed1b648edbab17bf43645abb1a5760a1bfbf94a87f09a3ba903,ae84b054d4f2aed1b648edbab17bf43645abb1a5760a1bfbf94a87f09a3ba903,373791,true,false,ignored_or_untracked,true
tmp/pdfs/contact-01.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/contact-01.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,01b7117289391a9dbee1d07d810fb4fef083799c96e77cef9ecd64895677b4ae,01b7117289391a9dbee1d07d810fb4fef083799c96e77cef9ecd64895677b4ae,1697519,true,false,ignored_or_untracked,true
tmp/pdfs/contact-02.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/contact-02.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,6201a52d3cd9781eabe833423efef863f8701636e3c7fd86de65528fe3f367c9,6201a52d3cd9781eabe833423efef863f8701636e3c7fd86de65528fe3f367c9,661327,true,false,ignored_or_untracked,true
tmp/pdfs/contact-03.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/contact-03.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,bc81b02399a7ffa54d78ae39d5417b68686382bdb00adbdc0b511254907cecf9,bc81b02399a7ffa54d78ae39d5417b68686382bdb00adbdc0b511254907cecf9,765764,true,false,ignored_or_untracked,true
tmp/pdfs/contact-04.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/contact-04.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,a7707e34aad756f8b8a11f2838ddad9f164c64926ee3de8cadeb4bb1e0163d64,a7707e34aad756f8b8a11f2838ddad9f164c64926ee3de8cadeb4bb1e0163d64,638126,true,false,ignored_or_untracked,true
tmp/pdfs/contact-1.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/contact-1.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,dea1820c151ddf12428eb7a19e7b9bdd9ee7b39ec500d134afebfa7cce048480,dea1820c151ddf12428eb7a19e7b9bdd9ee7b39ec500d134afebfa7cce048480,1418198,true,false,ignored_or_untracked,true
tmp/pdfs/contact-2.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/contact-2.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,7089a42a919247a94f0adba48a8acc3d1059c7e0c2b209e842749296db6bab52,7089a42a919247a94f0adba48a8acc3d1059c7e0c2b209e842749296db6bab52,568118,true,false,ignored_or_untracked,true
tmp/pdfs/contact-2b.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/contact-2b.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,7089a42a919247a94f0adba48a8acc3d1059c7e0c2b209e842749296db6bab52,7089a42a919247a94f0adba48a8acc3d1059c7e0c2b209e842749296db6bab52,568118,true,false,ignored_or_untracked,true
tmp/pdfs/contact-3.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/contact-3.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,b8d825837a01234472f1ddff2cd4c83a6af72bdc514fd1b870375dac34a84f81,b8d825837a01234472f1ddff2cd4c83a6af72bdc514fd1b870375dac34a84f81,537582,true,false,ignored_or_untracked,true
tmp/pdfs/contact-3b.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/contact-3b.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,b8d825837a01234472f1ddff2cd4c83a6af72bdc514fd1b870375dac34a84f81,b8d825837a01234472f1ddff2cd4c83a6af72bdc514fd1b870375dac34a84f81,537582,true,false,ignored_or_untracked,true
tmp/pdfs/design_weighted_qa/page-20.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/design_weighted_qa/page-20.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,e254acd449e0a72b2c6559b87c018d3bc9f70e14cc40a78e8f9843792e7a117a,e254acd449e0a72b2c6559b87c018d3bc9f70e14cc40a78e8f9843792e7a117a,341171,true,false,ignored_or_untracked,true
tmp/pdfs/design_weighted_qa/page-21.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/design_weighted_qa/page-21.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,bed2b1d9e6fcfdbcd09f8dd957550660bf1d8c2cadc838a4709316d906f3f3ab,bed2b1d9e6fcfdbcd09f8dd957550660bf1d8c2cadc838a4709316d906f3f3ab,411738,true,false,ignored_or_untracked,true
tmp/pdfs/design_weighted_qa/page-22.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/design_weighted_qa/page-22.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,ff404a9903156b3c65fcbbbca64ec799c7cf07d0572238fff6b2fd5c27800deb,ff404a9903156b3c65fcbbbca64ec799c7cf07d0572238fff6b2fd5c27800deb,367485,true,false,ignored_or_untracked,true
tmp/pdfs/design_weighted_qa/page-23.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/design_weighted_qa/page-23.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,237d22006ef4244f971d85035c0259b2c55545ac7658d96cbd1c16a024ee86a2,237d22006ef4244f971d85035c0259b2c55545ac7658d96cbd1c16a024ee86a2,275567,true,false,ignored_or_untracked,true
tmp/pdfs/final-28.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/final-28.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,e9bab2e0bb065066765ab0df653dbf7cbb4e830b847963bb2e8b1d328d487387,e9bab2e0bb065066765ab0df653dbf7cbb4e830b847963bb2e8b1d328d487387,200738,true,false,ignored_or_untracked,true
tmp/pdfs/frontier-19.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/frontier-19.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,5148f96e26b3b63018acc22db3f6a188bead31a74b3119fb606f571627a1ffa7,5148f96e26b3b63018acc22db3f6a188bead31a74b3119fb606f571627a1ffa7,356420,true,false,ignored_or_untracked,true
tmp/pdfs/frontier-20.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/frontier-20.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,bbdfa953ae56d317aab549730ca44238dc7b56fde63064a5a22d3219c949e7c6,bbdfa953ae56d317aab549730ca44238dc7b56fde63064a5a22d3219c949e7c6,209665,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline-01.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline-01.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,af0d0411309fabcf61468f1462dd51c0eb63e7c45de1604ffcae560d4770684f,af0d0411309fabcf61468f1462dd51c0eb63e7c45de1604ffcae560d4770684f,155649,true,false,ignored_or_untracked,true
