outcome,dimension,field,quantity,estimate,n,judge_model,n_judges,point_envelope_low,point_envelope_high,note,sample,conditional,canonical_run_id
ideology,Economic,economic_left_right,share_pos1,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.012010884321610252,0.05413293342264651,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_pos2,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,7.903560116893202e-4,0.013329967045556617,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_zero,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.77305673434449,0.9625996416768582,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_neg1,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.0684647133831684,0.5001534618860113,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_neg2,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,4.4947933138887914e-4,0.22175220641524815,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_pos1,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.006404836299232549,0.46541090032657295,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_pos2,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,1.4568764568764566e-4,0.016382716777481515,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_zero,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.27078201005131414,0.7945079268299821,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_neg1,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.09905533879432613,0.6593122150435894,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_neg2,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.01616878494095125,0.11821569516325564,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_pos1,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.0021331953514964297,0.14336366907134726,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_pos2,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.003182167701588987,0.04665040908993314,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_zero,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.2161999927088036,0.7942305507816926,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Authority / subversion,authority_subversion,prevalence,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.11573855719092103,0.3224845708256276,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Care / harm,care_harm,prevalence,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.45744910505123376,0.5224885208562885,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Fairness / cheating,fairness_cheating,prevalence,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.6090529174047891,0.7878377588338624,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Liberty / oppression,liberty_oppression,prevalence,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.3616427636817664,0.6122997216279685,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Loyalty / betrayal,loyalty_betrayal,prevalence,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.0845003726905899,0.21183000773411537,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Sanctity / degradation,sanctity_degradation,prevalence,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.015892161805474092,0.0528701702024071,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
