jurisdiction,cell,n_home,n_away,n,both_arms,support_definition,canonical_run_id
CN,deepseek-chat-v3.1 | civil_rights_liberties | current-events | boundary,0,8,8,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | religion_state | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | religion_state | perennial | boundary,2,26,28,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | religion_state | perennial | regular,2,26,28,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | religion_state | temporal | boundary,0,64,64,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | religion_state | temporal | regular,0,64,64,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | security_conflict | current-events | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | security_conflict | current-events | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | security_conflict | perennial | boundary,6,8,14,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | security_conflict | perennial | regular,6,8,14,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | security_conflict | temporal | boundary,0,114,114,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | security_conflict | temporal | regular,0,114,114,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | social_moral | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | social_moral | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | social_moral | perennial | boundary,0,30,30,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | social_moral | perennial | regular,0,30,30,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | social_moral | temporal | boundary,0,2,2,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | social_moral | temporal | regular,0,2,2,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | territorial_sovereignty | current-events | boundary,0,20,20,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | territorial_sovereignty | current-events | regular,0,20,20,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | territorial_sovereignty | perennial | boundary,94,14,108,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | territorial_sovereignty | perennial | regular,94,14,108,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | territorial_sovereignty | temporal | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | territorial_sovereignty | temporal | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | civil_rights_liberties | current-events | boundary,4,4,8,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | civil_rights_liberties | current-events | regular,4,4,8,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | civil_rights_liberties | perennial | boundary,2,66,68,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | civil_rights_liberties | perennial | regular,2,66,68,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | civil_rights_liberties | temporal | boundary,12,62,74,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | civil_rights_liberties | temporal | regular,12,62,74,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | economic_policy | current-events | boundary,2,34,36,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | economic_policy | current-events | regular,2,34,36,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | economic_policy | perennial | boundary,0,50,50,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | economic_policy | perennial | regular,0,50,50,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | economic_policy | temporal | boundary,4,24,28,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | economic_policy | temporal | regular,4,24,28,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | environment_energy | current-events | boundary,2,8,10,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | environment_energy | current-events | regular,2,8,10,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | environment_energy | perennial | boundary,0,12,12,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | environment_energy | perennial | regular,0,12,12,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | environment_energy | temporal | boundary,2,8,10,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | environment_energy | temporal | regular,2,8,10,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | governance_democracy | current-events | boundary,6,28,34,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | governance_democracy | current-events | regular,6,28,34,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | governance_democracy | perennial | boundary,2,60,62,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | governance_democracy | perennial | regular,2,60,62,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | governance_democracy | temporal | boundary,14,38,52,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | governance_democracy | temporal | regular,14,38,52,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | migration_nationalism | current-events | boundary,4,22,26,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | migration_nationalism | current-events | regular,4,22,26,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | migration_nationalism | perennial | boundary,0,54,54,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | migration_nationalism | perennial | regular,0,54,54,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | migration_nationalism | temporal | boundary,16,52,68,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | migration_nationalism | temporal | regular,16,52,68,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | religion_state | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | religion_state | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | religion_state | perennial | boundary,12,16,28,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | religion_state | perennial | regular,12,16,28,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | religion_state | temporal | boundary,8,56,64,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | religion_state | temporal | regular,8,56,64,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | security_conflict | current-events | boundary,16,12,28,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | security_conflict | current-events | regular,16,12,28,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | security_conflict | perennial | boundary,2,12,14,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | security_conflict | perennial | regular,2,12,14,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | security_conflict | temporal | boundary,76,38,114,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | security_conflict | temporal | regular,76,38,114,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | social_moral | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | social_moral | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | social_moral | perennial | boundary,2,28,30,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | social_moral | perennial | regular,2,28,30,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | social_moral | temporal | boundary,0,2,2,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | social_moral | temporal | regular,0,2,2,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | territorial_sovereignty | current-events | boundary,4,16,20,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | territorial_sovereignty | current-events | regular,4,16,20,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | territorial_sovereignty | perennial | boundary,0,108,108,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | territorial_sovereignty | perennial | regular,0,108,108,FALSE,model x domain x route_f x tier,canon_019
MENA,allam-7b | territorial_sovereignty | temporal | boundary,18,10,28,TRUE,model x domain x route_f x tier,canon_019
MENA,allam-7b | territorial_sovereignty | temporal | regular,18,10,28,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | civil_rights_liberties | current-events | boundary,4,4,8,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | civil_rights_liberties | current-events | regular,4,4,8,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | civil_rights_liberties | perennial | boundary,2,66,68,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | civil_rights_liberties | perennial | regular,2,66,68,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | civil_rights_liberties | temporal | boundary,12,62,74,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | civil_rights_liberties | temporal | regular,12,62,74,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | economic_policy | current-events | boundary,2,34,36,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | economic_policy | current-events | regular,2,34,36,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | economic_policy | perennial | boundary,0,50,50,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | economic_policy | perennial | regular,0,50,50,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | economic_policy | temporal | boundary,4,24,28,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | economic_policy | temporal | regular,4,24,28,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | environment_energy | current-events | boundary,2,8,10,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | environment_energy | current-events | regular,2,8,10,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | environment_energy | perennial | boundary,0,12,12,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | environment_energy | perennial | regular,0,12,12,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | environment_energy | temporal | boundary,2,8,10,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | environment_energy | temporal | regular,2,8,10,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | governance_democracy | current-events | boundary,6,28,34,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | governance_democracy | current-events | regular,6,28,34,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | governance_democracy | perennial | boundary,2,60,62,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | governance_democracy | perennial | regular,2,60,62,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | governance_democracy | temporal | boundary,14,38,52,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | governance_democracy | temporal | regular,14,38,52,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | migration_nationalism | current-events | boundary,4,22,26,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | migration_nationalism | current-events | regular,4,22,26,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | migration_nationalism | perennial | boundary,0,54,54,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | migration_nationalism | perennial | regular,0,54,54,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | migration_nationalism | temporal | boundary,16,52,68,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | migration_nationalism | temporal | regular,16,52,68,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | religion_state | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | religion_state | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | religion_state | perennial | boundary,12,16,28,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | religion_state | perennial | regular,12,16,28,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | religion_state | temporal | boundary,8,56,64,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | religion_state | temporal | regular,8,56,64,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | security_conflict | current-events | boundary,16,12,28,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | security_conflict | current-events | regular,16,12,28,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | security_conflict | perennial | boundary,2,12,14,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | security_conflict | perennial | regular,2,12,14,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | security_conflict | temporal | boundary,76,38,114,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | security_conflict | temporal | regular,76,38,114,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | social_moral | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | social_moral | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | social_moral | perennial | boundary,2,28,30,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | social_moral | perennial | regular,2,28,30,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | social_moral | temporal | boundary,0,2,2,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | social_moral | temporal | regular,0,2,2,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | territorial_sovereignty | current-events | boundary,4,16,20,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | territorial_sovereignty | current-events | regular,4,16,20,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | territorial_sovereignty | perennial | boundary,0,108,108,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | territorial_sovereignty | perennial | regular,0,108,108,FALSE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | territorial_sovereignty | temporal | boundary,18,10,28,TRUE,model x domain x route_f x tier,canon_019
MENA,falcon3-10b | territorial_sovereignty | temporal | regular,18,10,28,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | civil_rights_liberties | current-events | boundary,4,4,8,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | civil_rights_liberties | current-events | regular,4,4,8,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | civil_rights_liberties | perennial | boundary,2,66,68,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | civil_rights_liberties | perennial | regular,2,66,68,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | civil_rights_liberties | temporal | boundary,12,62,74,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | civil_rights_liberties | temporal | regular,12,62,74,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | economic_policy | current-events | boundary,2,34,36,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | economic_policy | current-events | regular,2,34,36,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | economic_policy | perennial | boundary,0,50,50,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | economic_policy | perennial | regular,0,50,50,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | economic_policy | temporal | boundary,4,24,28,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | economic_policy | temporal | regular,4,24,28,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | environment_energy | current-events | boundary,2,8,10,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | environment_energy | current-events | regular,2,8,10,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | environment_energy | perennial | boundary,0,12,12,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | environment_energy | perennial | regular,0,12,12,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | environment_energy | temporal | boundary,2,8,10,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | environment_energy | temporal | regular,2,8,10,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | governance_democracy | current-events | boundary,6,28,34,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | governance_democracy | current-events | regular,6,28,34,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | governance_democracy | perennial | boundary,2,60,62,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | governance_democracy | perennial | regular,2,60,62,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | governance_democracy | temporal | boundary,14,38,52,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | governance_democracy | temporal | regular,14,38,52,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | migration_nationalism | current-events | boundary,4,22,26,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | migration_nationalism | current-events | regular,4,22,26,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | migration_nationalism | perennial | boundary,0,54,54,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | migration_nationalism | perennial | regular,0,54,54,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | migration_nationalism | temporal | boundary,16,52,68,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | migration_nationalism | temporal | regular,16,52,68,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | religion_state | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | religion_state | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | religion_state | perennial | boundary,12,16,28,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | religion_state | perennial | regular,12,16,28,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | religion_state | temporal | boundary,8,56,64,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | religion_state | temporal | regular,8,56,64,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | security_conflict | current-events | boundary,16,12,28,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | security_conflict | current-events | regular,16,12,28,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | security_conflict | perennial | boundary,2,12,14,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | security_conflict | perennial | regular,2,12,14,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | security_conflict | temporal | boundary,76,38,114,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | security_conflict | temporal | regular,76,38,114,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | social_moral | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | social_moral | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | social_moral | perennial | boundary,2,28,30,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | social_moral | perennial | regular,2,28,30,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | social_moral | temporal | boundary,0,2,2,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | social_moral | temporal | regular,0,2,2,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | territorial_sovereignty | current-events | boundary,4,16,20,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | territorial_sovereignty | current-events | regular,4,16,20,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | territorial_sovereignty | perennial | boundary,0,108,108,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | territorial_sovereignty | perennial | regular,0,108,108,FALSE,model x domain x route_f x tier,canon_019
MENA,jais-8b | territorial_sovereignty | temporal | boundary,18,10,28,TRUE,model x domain x route_f x tier,canon_019
MENA,jais-8b | territorial_sovereignty | temporal | regular,18,10,28,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | civil_rights_liberties | current-events | boundary,0,8,8,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | civil_rights_liberties | current-events | regular,0,8,8,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | civil_rights_liberties | perennial | boundary,0,68,68,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | civil_rights_liberties | perennial | regular,0,68,68,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | civil_rights_liberties | temporal | boundary,48,26,74,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | civil_rights_liberties | temporal | regular,48,26,74,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | economic_policy | current-events | boundary,2,34,36,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | economic_policy | current-events | regular,2,33,35,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | economic_policy | perennial | boundary,0,50,50,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | economic_policy | perennial | regular,0,49,49,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | economic_policy | temporal | boundary,18,10,28,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | economic_policy | temporal | regular,18,10,28,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | environment_energy | current-events | boundary,0,10,10,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | environment_energy | current-events | regular,0,9,9,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | environment_energy | perennial | boundary,0,12,12,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | environment_energy | perennial | regular,0,12,12,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | environment_energy | temporal | boundary,6,4,10,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | environment_energy | temporal | regular,6,4,10,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | governance_democracy | current-events | boundary,6,28,34,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | governance_democracy | current-events | regular,6,28,34,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | governance_democracy | perennial | boundary,0,62,62,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | governance_democracy | perennial | regular,0,61,61,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | governance_democracy | temporal | boundary,16,36,52,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | governance_democracy | temporal | regular,16,36,52,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | migration_nationalism | current-events | boundary,2,24,26,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | migration_nationalism | current-events | regular,2,24,26,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | migration_nationalism | perennial | boundary,2,52,54,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | migration_nationalism | perennial | regular,2,52,54,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | migration_nationalism | temporal | boundary,18,50,68,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | migration_nationalism | temporal | regular,18,50,68,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | religion_state | current-events | boundary,2,4,6,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | religion_state | current-events | regular,2,4,6,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | religion_state | perennial | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | religion_state | perennial | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | religion_state | temporal | boundary,52,12,64,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | religion_state | temporal | regular,52,12,64,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | security_conflict | current-events | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | security_conflict | current-events | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | security_conflict | perennial | boundary,0,14,14,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | security_conflict | perennial | regular,0,14,14,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | security_conflict | temporal | boundary,20,94,114,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | security_conflict | temporal | regular,20,94,114,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | social_moral | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | social_moral | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | social_moral | perennial | boundary,0,30,30,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | social_moral | perennial | regular,0,30,30,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | social_moral | temporal | boundary,0,2,2,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | social_moral | temporal | regular,0,2,2,FALSE,model x domain x route_f x tier,canon_019
India,sarvam-30b | territorial_sovereignty | current-events | boundary,4,16,20,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | territorial_sovereignty | current-events | regular,4,16,20,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | territorial_sovereignty | perennial | boundary,6,102,108,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | territorial_sovereignty | perennial | regular,6,102,108,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | territorial_sovereignty | temporal | boundary,6,22,28,TRUE,model x domain x route_f x tier,canon_019
India,sarvam-30b | territorial_sovereignty | temporal | regular,6,22,28,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | civil_rights_liberties | current-events | boundary,2,6,8,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | civil_rights_liberties | current-events | regular,2,6,8,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | civil_rights_liberties | perennial | boundary,34,34,68,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | civil_rights_liberties | perennial | regular,34,34,68,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | civil_rights_liberties | temporal | boundary,6,68,74,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | civil_rights_liberties | temporal | regular,6,68,74,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | economic_policy | current-events | boundary,20,16,36,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | economic_policy | current-events | regular,20,16,36,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | economic_policy | perennial | boundary,24,26,50,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | economic_policy | perennial | regular,24,26,50,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | economic_policy | temporal | boundary,6,22,28,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | economic_policy | temporal | regular,6,22,28,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | environment_energy | current-events | boundary,6,4,10,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | environment_energy | current-events | regular,6,4,10,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | environment_energy | perennial | boundary,10,2,12,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | environment_energy | perennial | regular,10,2,12,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | environment_energy | temporal | boundary,0,10,10,FALSE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | environment_energy | temporal | regular,0,10,10,FALSE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | governance_democracy | current-events | boundary,4,30,34,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | governance_democracy | current-events | regular,4,30,34,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | governance_democracy | perennial | boundary,4,58,62,TRUE,model x domain x route_f x tier,canon_019
US,claude-opus-4.5 | governance_democracy | perennial | regular,4,58,62,TRUE,model x domain x route_f x tier,canon_019
