model,prompt_language,task_behavior,n,share,n_cell,source,canonical_run_id
grok-4.3,zh,partial,17,0.006810897435897436,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,ar,coherent_pivot,60,0.02403846153846154,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,ar,complete,2005,0.8032852564102564,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,ar,functionally_complete,37,0.014823717948717948,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,ar,no_substantive_output,10,0.004006410256410256,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,ar,opposite_position,210,0.08413461538461539,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,ar,partial,174,0.06971153846153846,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,en,coherent_pivot,35,0.014022435897435898,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,en,complete,2018,0.8084935897435898,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,en,functionally_complete,63,0.025240384615384616,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,en,no_substantive_output,98,0.03926282051282051,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,en,opposite_position,112,0.04487179487179487,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,en,partial,170,0.06810897435897435,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,hi,coherent_pivot,42,0.016826923076923076,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,hi,complete,1923,0.7704326923076923,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,hi,functionally_complete,29,0.011618589743589744,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,hi,no_substantive_output,15,0.006009615384615385,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,hi,opposite_position,216,0.08653846153846154,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,hi,partial,271,0.10857371794871795,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,ru,coherent_pivot,35,0.014022435897435898,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,ru,complete,2013,0.8064903846153846,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,ru,functionally_complete,108,0.04326923076923077,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,ru,no_substantive_output,26,0.010416666666666666,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,ru,opposite_position,180,0.07211538461538461,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,ru,partial,134,0.05368589743589743,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,zh,coherent_pivot,102,0.040865384615384616,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,zh,complete,1939,0.7768429487179487,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,zh,functionally_complete,40,0.016025641025641024,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,zh,no_substantive_output,78,0.03125,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,zh,opposite_position,220,0.08814102564102565,2496,Luna v2.4 task_behavior,canon_019
hunyuan-a13b,zh,partial,117,0.046875,2496,Luna v2.4 task_behavior,canon_019
jais-8b,ar,coherent_pivot,56,0.022435897435897436,2496,Luna v2.4 task_behavior,canon_019
jais-8b,ar,complete,1934,0.7748397435897436,2496,Luna v2.4 task_behavior,canon_019
jais-8b,ar,functionally_complete,142,0.05689102564102564,2496,Luna v2.4 task_behavior,canon_019
jais-8b,ar,no_substantive_output,29,0.011618589743589744,2496,Luna v2.4 task_behavior,canon_019
jais-8b,ar,opposite_position,76,0.030448717948717948,2496,Luna v2.4 task_behavior,canon_019
jais-8b,ar,partial,259,0.10376602564102565,2496,Luna v2.4 task_behavior,canon_019
jais-8b,en,coherent_pivot,6,0.002403846153846154,2496,Luna v2.4 task_behavior,canon_019
jais-8b,en,complete,2223,0.890625,2496,Luna v2.4 task_behavior,canon_019
jais-8b,en,functionally_complete,102,0.040865384615384616,2496,Luna v2.4 task_behavior,canon_019
jais-8b,en,no_substantive_output,46,0.01842948717948718,2496,Luna v2.4 task_behavior,canon_019
jais-8b,en,opposite_position,55,0.022035256410256412,2496,Luna v2.4 task_behavior,canon_019
jais-8b,en,partial,64,0.02564102564102564,2496,Luna v2.4 task_behavior,canon_019
jais-8b,hi,coherent_pivot,174,0.06973947895791584,2495,Luna v2.4 task_behavior,canon_019
jais-8b,hi,complete,96,0.03847695390781563,2495,Luna v2.4 task_behavior,canon_019
jais-8b,hi,functionally_complete,38,0.015230460921843688,2495,Luna v2.4 task_behavior,canon_019
jais-8b,hi,no_substantive_output,399,0.15991983967935872,2495,Luna v2.4 task_behavior,canon_019
jais-8b,hi,opposite_position,112,0.044889779559118236,2495,Luna v2.4 task_behavior,canon_019
jais-8b,hi,partial,1676,0.6717434869739479,2495,Luna v2.4 task_behavior,canon_019
jais-8b,ru,coherent_pivot,102,0.040865384615384616,2496,Luna v2.4 task_behavior,canon_019
jais-8b,ru,complete,264,0.10576923076923077,2496,Luna v2.4 task_behavior,canon_019
jais-8b,ru,functionally_complete,82,0.032852564102564104,2496,Luna v2.4 task_behavior,canon_019
jais-8b,ru,no_substantive_output,230,0.0921474358974359,2496,Luna v2.4 task_behavior,canon_019
jais-8b,ru,opposite_position,200,0.08012820512820513,2496,Luna v2.4 task_behavior,canon_019
jais-8b,ru,partial,1612,0.6458333333333334,2496,Luna v2.4 task_behavior,canon_019
jais-8b,ru,unassessable,6,0.002403846153846154,2496,Luna v2.4 task_behavior,canon_019
jais-8b,zh,coherent_pivot,179,0.07171474358974358,2496,Luna v2.4 task_behavior,canon_019
jais-8b,zh,complete,847,0.33934294871794873,2496,Luna v2.4 task_behavior,canon_019
jais-8b,zh,functionally_complete,146,0.058493589743589744,2496,Luna v2.4 task_behavior,canon_019
jais-8b,zh,no_substantive_output,46,0.01842948717948718,2496,Luna v2.4 task_behavior,canon_019
jais-8b,zh,opposite_position,275,0.11017628205128205,2496,Luna v2.4 task_behavior,canon_019
jais-8b,zh,partial,1003,0.40184294871794873,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,ar,coherent_pivot,131,0.05248397435897436,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,ar,complete,2114,0.8469551282051282,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,ar,functionally_complete,64,0.02564102564102564,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,ar,no_substantive_output,8,0.003205128205128205,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,ar,opposite_position,63,0.025240384615384616,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,ar,partial,116,0.046474358974358976,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,en,coherent_pivot,309,0.12379807692307693,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,en,complete,1901,0.7616185897435898,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,en,functionally_complete,108,0.04326923076923077,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,en,no_substantive_output,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,en,opposite_position,43,0.017227564102564104,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,en,partial,131,0.05248397435897436,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,hi,coherent_pivot,199,0.0797275641025641,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,hi,complete,1925,0.7712339743589743,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,hi,functionally_complete,71,0.02844551282051282,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,hi,no_substantive_output,11,0.004407051282051282,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,hi,opposite_position,133,0.05328525641025641,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,hi,partial,157,0.06290064102564102,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,ru,coherent_pivot,346,0.13862179487179488,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,ru,complete,1741,0.6975160256410257,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,ru,functionally_complete,108,0.04326923076923077,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,ru,no_substantive_output,19,0.007612179487179487,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,ru,opposite_position,128,0.05128205128205128,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,ru,partial,154,0.06169871794871795,2496,Luna v2.4 task_behavior,canon_019
kimi-k2.5,zh,coherent_pivot,480,0.19238476953907815,2495,Luna v2.4 task_behavior,canon_019
kimi-k2.5,zh,complete,1658,0.6645290581162324,2495,Luna v2.4 task_behavior,canon_019
kimi-k2.5,zh,functionally_complete,55,0.022044088176352707,2495,Luna v2.4 task_behavior,canon_019
kimi-k2.5,zh,no_substantive_output,4,0.0016032064128256513,2495,Luna v2.4 task_behavior,canon_019
kimi-k2.5,zh,opposite_position,128,0.05130260521042084,2495,Luna v2.4 task_behavior,canon_019
kimi-k2.5,zh,partial,170,0.06813627254509018,2495,Luna v2.4 task_behavior,canon_019
llama-4-scout,ar,coherent_pivot,71,0.02844551282051282,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,ar,complete,2102,0.8421474358974359,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,ar,functionally_complete,75,0.030048076923076924,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,ar,no_substantive_output,83,0.03325320512820513,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,ar,opposite_position,44,0.017628205128205128,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,ar,partial,121,0.048477564102564104,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,en,coherent_pivot,28,0.011217948717948718,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,en,complete,2220,0.8894230769230769,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,en,functionally_complete,137,0.05488782051282051,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,en,no_substantive_output,10,0.004006410256410256,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,en,opposite_position,9,0.003605769230769231,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,en,partial,92,0.03685897435897436,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,hi,coherent_pivot,23,0.00921474358974359,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,hi,complete,2254,0.9030448717948718,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,hi,functionally_complete,47,0.018830128205128204,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,hi,no_substantive_output,37,0.014823717948717948,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,hi,opposite_position,39,0.015625,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,hi,partial,96,0.038461538461538464,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,ru,coherent_pivot,28,0.011217948717948718,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,ru,complete,2211,0.8858173076923077,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,ru,functionally_complete,114,0.04567307692307692,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,ru,no_substantive_output,40,0.016025641025641024,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,ru,opposite_position,17,0.006810897435897436,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,ru,partial,86,0.03445512820512821,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,zh,coherent_pivot,8,0.003205128205128205,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,zh,complete,2341,0.9379006410256411,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,zh,functionally_complete,62,0.024839743589743588,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,zh,no_substantive_output,10,0.004006410256410256,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,zh,opposite_position,15,0.006009615384615385,2496,Luna v2.4 task_behavior,canon_019
llama-4-scout,zh,partial,60,0.02403846153846154,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,ar,coherent_pivot,8,0.003205128205128205,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,ar,complete,2394,0.9591346153846154,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,ar,functionally_complete,17,0.006810897435897436,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,ar,opposite_position,46,0.01842948717948718,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,ar,partial,31,0.012419871794871794,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,en,coherent_pivot,1,0.00040064102564102563,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,en,complete,2468,0.9887820512820513,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,en,functionally_complete,10,0.004006410256410256,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,en,opposite_position,14,0.005608974358974359,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,en,partial,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,hi,coherent_pivot,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,hi,complete,2361,0.9459134615384616,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,hi,functionally_complete,13,0.005208333333333333,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,hi,opposite_position,98,0.03926282051282051,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,hi,partial,20,0.008012820512820512,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,ru,coherent_pivot,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,ru,complete,2427,0.9723557692307693,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,ru,functionally_complete,36,0.014423076923076924,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,ru,opposite_position,12,0.004807692307692308,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,ru,partial,17,0.006810897435897436,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,zh,coherent_pivot,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,zh,complete,2464,0.9871794871794872,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,zh,functionally_complete,7,0.0028044871794871795,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,zh,no_substantive_output,1,0.00040064102564102563,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,zh,opposite_position,13,0.005208333333333333,2496,Luna v2.4 task_behavior,canon_019
ministral-14b,zh,partial,9,0.003605769230769231,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,ar,coherent_pivot,1,0.00040064102564102563,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,ar,complete,2434,0.9751602564102564,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,ar,functionally_complete,28,0.011217948717948718,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,ar,opposite_position,26,0.010416666666666666,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,ar,partial,7,0.0028044871794871795,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,en,complete,2454,0.9831730769230769,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,en,functionally_complete,28,0.011217948717948718,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,en,opposite_position,12,0.004807692307692308,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,en,partial,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,hi,coherent_pivot,2,0.00080160320641282565,2495,Luna v2.4 task_behavior,canon_019
mistral-large-2512,hi,complete,2269,0.9094188376753507,2495,Luna v2.4 task_behavior,canon_019
mistral-large-2512,hi,functionally_complete,86,0.034468937875751504,2495,Luna v2.4 task_behavior,canon_019
mistral-large-2512,hi,opposite_position,135,0.05410821643286573,2495,Luna v2.4 task_behavior,canon_019
mistral-large-2512,hi,partial,3,0.0012024048096192384,2495,Luna v2.4 task_behavior,canon_019
mistral-large-2512,ru,coherent_pivot,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,ru,complete,2441,0.9779647435897436,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,ru,functionally_complete,38,0.015224358974358974,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,ru,opposite_position,9,0.003605769230769231,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,ru,partial,6,0.002403846153846154,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,zh,complete,2470,0.9895833333333334,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,zh,functionally_complete,19,0.007612179487179487,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,zh,opposite_position,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
mistral-large-2512,zh,partial,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
nova-lite,ar,coherent_pivot,16,0.00641025641025641,2496,Luna v2.4 task_behavior,canon_019
nova-lite,ar,complete,2264,0.907051282051282,2496,Luna v2.4 task_behavior,canon_019
nova-lite,ar,functionally_complete,26,0.010416666666666666,2496,Luna v2.4 task_behavior,canon_019
nova-lite,ar,no_substantive_output,17,0.006810897435897436,2496,Luna v2.4 task_behavior,canon_019
nova-lite,ar,opposite_position,37,0.014823717948717948,2496,Luna v2.4 task_behavior,canon_019
nova-lite,ar,partial,136,0.05448717948717949,2496,Luna v2.4 task_behavior,canon_019
nova-lite,en,coherent_pivot,5,0.002003205128205128,2496,Luna v2.4 task_behavior,canon_019
nova-lite,en,complete,2389,0.9571314102564102,2496,Luna v2.4 task_behavior,canon_019
nova-lite,en,functionally_complete,33,0.013221153846153846,2496,Luna v2.4 task_behavior,canon_019
nova-lite,en,no_substantive_output,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
nova-lite,en,opposite_position,18,0.007211538461538462,2496,Luna v2.4 task_behavior,canon_019
nova-lite,en,partial,47,0.018830128205128204,2496,Luna v2.4 task_behavior,canon_019
nova-lite,hi,coherent_pivot,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
nova-lite,hi,complete,2175,0.8713942307692307,2496,Luna v2.4 task_behavior,canon_019
nova-lite,hi,functionally_complete,21,0.008413461538461538,2496,Luna v2.4 task_behavior,canon_019
nova-lite,hi,no_substantive_output,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
nova-lite,hi,opposite_position,216,0.08653846153846154,2496,Luna v2.4 task_behavior,canon_019
nova-lite,hi,partial,78,0.03125,2496,Luna v2.4 task_behavior,canon_019
nova-lite,ru,coherent_pivot,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
nova-lite,ru,complete,2343,0.9387019230769231,2496,Luna v2.4 task_behavior,canon_019
nova-lite,ru,functionally_complete,56,0.022435897435897436,2496,Luna v2.4 task_behavior,canon_019
nova-lite,ru,opposite_position,28,0.011217948717948718,2496,Luna v2.4 task_behavior,canon_019
nova-lite,ru,partial,66,0.026442307692307692,2496,Luna v2.4 task_behavior,canon_019
nova-lite,zh,coherent_pivot,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
nova-lite,zh,complete,2386,0.9559294871794872,2496,Luna v2.4 task_behavior,canon_019
nova-lite,zh,functionally_complete,18,0.007211538461538462,2496,Luna v2.4 task_behavior,canon_019
nova-lite,zh,no_substantive_output,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
nova-lite,zh,opposite_position,14,0.005608974358974359,2496,Luna v2.4 task_behavior,canon_019
nova-lite,zh,partial,73,0.029246794871794872,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,ar,coherent_pivot,14,0.005608974358974359,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,ar,complete,2317,0.9282852564102564,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,ar,functionally_complete,95,0.03806089743589743,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,ar,no_substantive_output,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,ar,opposite_position,37,0.014823717948717948,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,ar,partial,29,0.011618589743589744,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,en,coherent_pivot,22,0.008814102564102564,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,en,complete,2019,0.8088942307692307,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,en,functionally_complete,132,0.052884615384615384,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,en,no_substantive_output,35,0.014022435897435898,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,en,opposite_position,99,0.039663461538461536,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,en,partial,189,0.07572115384615384,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,hi,coherent_pivot,6,0.002404809619238477,2495,Luna v2.4 task_behavior,canon_019
qwen3-max,hi,complete,2213,0.8869739478957915,2495,Luna v2.4 task_behavior,canon_019
qwen3-max,hi,functionally_complete,173,0.06933867735470942,2495,Luna v2.4 task_behavior,canon_019
qwen3-max,hi,no_substantive_output,7,0.0028056112224448897,2495,Luna v2.4 task_behavior,canon_019
qwen3-max,hi,opposite_position,36,0.014428857715430862,2495,Luna v2.4 task_behavior,canon_019
qwen3-max,hi,partial,59,0.023647294589178358,2495,Luna v2.4 task_behavior,canon_019
qwen3-max,hi,unassessable,1,4.008016032064128e-4,2495,Luna v2.4 task_behavior,canon_019
qwen3-max,ru,coherent_pivot,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,ru,complete,2309,0.9250801282051282,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,ru,functionally_complete,111,0.04447115384615385,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,ru,no_substantive_output,7,0.0028044871794871795,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,ru,opposite_position,46,0.01842948717948718,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,ru,partial,20,0.008012820512820512,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,zh,coherent_pivot,21,0.008413461538461538,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,zh,complete,2039,0.8169070512820513,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,zh,functionally_complete,80,0.03205128205128205,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,zh,no_substantive_output,29,0.011618589743589744,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,zh,opposite_position,133,0.05328525641025641,2496,Luna v2.4 task_behavior,canon_019
qwen3-max,zh,partial,194,0.07772435897435898,2496,Luna v2.4 task_behavior,canon_019
sarvam-30b,ar,coherent_pivot,53,0.0213365539452496,2484,Luna v2.4 task_behavior,canon_019
sarvam-30b,ar,complete,1032,0.41545893719806765,2484,Luna v2.4 task_behavior,canon_019
sarvam-30b,ar,functionally_complete,282,0.11352657004830918,2484,Luna v2.4 task_behavior,canon_019
sarvam-30b,ar,no_substantive_output,249,0.10024154589371981,2484,Luna v2.4 task_behavior,canon_019
sarvam-30b,ar,opposite_position,51,0.020531400966183576,2484,Luna v2.4 task_behavior,canon_019
sarvam-30b,ar,partial,817,0.3289049919484702,2484,Luna v2.4 task_behavior,canon_019
sarvam-30b,en,coherent_pivot,104,0.04176706827309237,2490,Luna v2.4 task_behavior,canon_019
sarvam-30b,en,complete,2190,0.8795180722891566,2490,Luna v2.4 task_behavior,canon_019
sarvam-30b,en,functionally_complete,104,0.04176706827309237,2490,Luna v2.4 task_behavior,canon_019
sarvam-30b,en,no_substantive_output,33,0.01325301204819277,2490,Luna v2.4 task_behavior,canon_019
sarvam-30b,en,opposite_position,17,0.006827309236947791,2490,Luna v2.4 task_behavior,canon_019
sarvam-30b,en,partial,42,0.016867469879518072,2490,Luna v2.4 task_behavior,canon_019
sarvam-30b,hi,coherent_pivot,19,0.007736156351791531,2456,Luna v2.4 task_behavior,canon_019
sarvam-30b,hi,complete,2166,0.8819218241042345,2456,Luna v2.4 task_behavior,canon_019
sarvam-30b,hi,functionally_complete,155,0.06311074918566775,2456,Luna v2.4 task_behavior,canon_019
sarvam-30b,hi,no_substantive_output,5,0.002035830618892508,2456,Luna v2.4 task_behavior,canon_019
sarvam-30b,hi,opposite_position,70,0.028501628664495113,2456,Luna v2.4 task_behavior,canon_019
sarvam-30b,hi,partial,41,0.016693811074918567,2456,Luna v2.4 task_behavior,canon_019
sarvam-30b,ru,coherent_pivot,29,0.011707710940654016,2477,Luna v2.4 task_behavior,canon_019
sarvam-30b,ru,complete,1986,0.8017763423496165,2477,Luna v2.4 task_behavior,canon_019
sarvam-30b,ru,functionally_complete,348,0.1404925312878482,2477,Luna v2.4 task_behavior,canon_019
sarvam-30b,ru,no_substantive_output,3,0.0012111425111021397,2477,Luna v2.4 task_behavior,canon_019
sarvam-30b,ru,opposite_position,43,0.017359709325797335,2477,Luna v2.4 task_behavior,canon_019
sarvam-30b,ru,partial,68,0.027452563584981833,2477,Luna v2.4 task_behavior,canon_019
sarvam-30b,zh,coherent_pivot,23,0.009222133119486768,2494,Luna v2.4 task_behavior,canon_019
sarvam-30b,zh,complete,2092,0.838813151563753,2494,Luna v2.4 task_behavior,canon_019
sarvam-30b,zh,functionally_complete,218,0.08740978348035285,2494,Luna v2.4 task_behavior,canon_019
sarvam-30b,zh,no_substantive_output,9,0.0036086607858861267,2494,Luna v2.4 task_behavior,canon_019
sarvam-30b,zh,opposite_position,62,0.024859663191659984,2494,Luna v2.4 task_behavior,canon_019
sarvam-30b,zh,partial,90,0.03608660785886127,2494,Luna v2.4 task_behavior,canon_019
